instant,dteday,season,year,month,hour,is_holiday,weekday,is_workingday,weather_cond,temperature,feeling_temperature,humidity,windspeed,casual,registered,total_count,time_of_day,temp_category,weather_daily
1,2011-01-01,Spring,2011,January,0,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.81,0.0,3,13,16,Morning,Mild,Misty/Cloudy
2,2011-01-01,Spring,2011,January,1,0,6,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,8,32,40,Morning,Mild,Misty/Cloudy
3,2011-01-01,Spring,2011,January,2,0,6,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,5,27,32,Morning,Mild,Misty/Cloudy
4,2011-01-01,Spring,2011,January,3,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,3,10,13,Morning,Mild,Misty/Cloudy
5,2011-01-01,Spring,2011,January,4,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,0,1,1,Morning,Mild,Misty/Cloudy
6,2011-01-01,Spring,2011,January,5,0,6,0,Misty/Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Morning,Mild,Misty/Cloudy
7,2011-01-01,Spring,2011,January,6,0,6,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,2,0,2,Morning,Mild,Misty/Cloudy
8,2011-01-01,Spring,2011,January,7,0,6,0,Clear/Partly Cloudy,0.2,0.2576,0.86,0.0,1,2,3,Morning,Mild,Misty/Cloudy
9,2011-01-01,Spring,2011,January,8,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,1,7,8,Morning,Mild,Misty/Cloudy
10,2011-01-01,Spring,2011,January,9,0,6,0,Clear/Partly Cloudy,0.32,0.3485,0.76,0.0,8,6,14,Morning,Mild,Misty/Cloudy
11,2011-01-01,Spring,2011,January,10,0,6,0,Clear/Partly Cloudy,0.38,0.3939,0.76,0.2537,12,24,36,Morning,Mild,Misty/Cloudy
12,2011-01-01,Spring,2011,January,11,0,6,0,Clear/Partly Cloudy,0.36,0.3333,0.81,0.2836,26,30,56,Morning,Mild,Misty/Cloudy
13,2011-01-01,Spring,2011,January,12,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.77,0.2836,29,55,84,Afternoon,Mild,Misty/Cloudy
14,2011-01-01,Spring,2011,January,13,0,6,0,Misty/Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Afternoon,Mild,Misty/Cloudy
15,2011-01-01,Spring,2011,January,14,0,6,0,Misty/Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Afternoon,Mild,Misty/Cloudy
16,2011-01-01,Spring,2011,January,15,0,6,0,Misty/Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Afternoon,Mild,Misty/Cloudy
17,2011-01-01,Spring,2011,January,16,0,6,0,Misty/Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Afternoon,Mild,Misty/Cloudy
18,2011-01-01,Spring,2011,January,17,0,6,0,Misty/Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Evening,Mild,Misty/Cloudy
19,2011-01-01,Spring,2011,January,18,0,6,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,Evening,Mild,Misty/Cloudy
20,2011-01-01,Spring,2011,January,19,0,6,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,Evening,Mild,Misty/Cloudy
21,2011-01-01,Spring,2011,January,20,0,6,0,Misty/Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Evening,Mild,Misty/Cloudy
22,2011-01-01,Spring,2011,January,21,0,6,0,Misty/Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Evening,Mild,Misty/Cloudy
23,2011-01-01,Spring,2011,January,22,0,6,0,Misty/Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Evening,Mild,Misty/Cloudy
24,2011-01-01,Spring,2011,January,23,0,6,0,Misty/Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Evening,Mild,Misty/Cloudy
25,2011-01-02,Spring,2011,January,0,0,0,0,Misty/Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Morning,Mild,Misty/Cloudy
26,2011-01-02,Spring,2011,January,1,0,0,0,Misty/Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Morning,Mild,Misty/Cloudy
27,2011-01-02,Spring,2011,January,2,0,0,0,Misty/Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Morning,Mild,Misty/Cloudy
28,2011-01-02,Spring,2011,January,3,0,0,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Morning,Mild,Misty/Cloudy
29,2011-01-02,Spring,2011,January,4,0,0,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Morning,Mild,Misty/Cloudy
30,2011-01-02,Spring,2011,January,6,0,0,0,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,Morning,Mild,Misty/Cloudy
31,2011-01-02,Spring,2011,January,7,0,0,0,Misty/Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Morning,Mild,Misty/Cloudy
32,2011-01-02,Spring,2011,January,8,0,0,0,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,Morning,Mild,Misty/Cloudy
33,2011-01-02,Spring,2011,January,9,0,0,0,Misty/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Morning,Mild,Misty/Cloudy
34,2011-01-02,Spring,2011,January,10,0,0,0,Misty/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Morning,Mild,Misty/Cloudy
35,2011-01-02,Spring,2011,January,11,0,0,0,Misty/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Morning,Mild,Misty/Cloudy
36,2011-01-02,Spring,2011,January,12,0,0,0,Misty/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Afternoon,Mild,Misty/Cloudy
37,2011-01-02,Spring,2011,January,13,0,0,0,Misty/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Afternoon,Mild,Misty/Cloudy
38,2011-01-02,Spring,2011,January,14,0,0,0,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,Afternoon,Mild,Misty/Cloudy
39,2011-01-02,Spring,2011,January,15,0,0,0,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,Afternoon,Mild,Misty/Cloudy
40,2011-01-02,Spring,2011,January,16,0,0,0,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,Afternoon,Mild,Misty/Cloudy
41,2011-01-02,Spring,2011,January,17,0,0,0,Clear/Partly Cloudy,0.34,0.3333,0.57,0.194,7,58,65,Evening,Mild,Misty/Cloudy
42,2011-01-02,Spring,2011,January,18,0,0,0,Misty/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Evening,Mild,Misty/Cloudy
43,2011-01-02,Spring,2011,January,19,0,0,0,Clear/Partly Cloudy,0.32,0.2879,0.42,0.4478,1,29,30,Evening,Mild,Misty/Cloudy
44,2011-01-02,Spring,2011,January,20,0,0,0,Clear/Partly Cloudy,0.3,0.2727,0.39,0.3582,5,17,22,Evening,Mild,Misty/Cloudy
45,2011-01-02,Spring,2011,January,21,0,0,0,Clear/Partly Cloudy,0.26,0.2273,0.44,0.3284,11,20,31,Evening,Mild,Misty/Cloudy
46,2011-01-02,Spring,2011,January,22,0,0,0,Clear/Partly Cloudy,0.24,0.2121,0.44,0.2985,0,9,9,Evening,Mild,Misty/Cloudy
47,2011-01-02,Spring,2011,January,23,0,0,0,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,8,8,Evening,Mild,Misty/Cloudy
48,2011-01-03,Spring,2011,January,0,0,1,1,Clear/Partly Cloudy,0.22,0.197,0.44,0.3582,0,5,5,Morning,Cold,Clear/Partly Cloudy
49,2011-01-03,Spring,2011,January,1,0,1,1,Clear/Partly Cloudy,0.2,0.1667,0.44,0.4179,0,2,2,Morning,Cold,Clear/Partly Cloudy
50,2011-01-03,Spring,2011,January,4,0,1,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.3881,0,1,1,Morning,Cold,Clear/Partly Cloudy
51,2011-01-03,Spring,2011,January,5,0,1,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.2836,0,3,3,Morning,Cold,Clear/Partly Cloudy
52,2011-01-03,Spring,2011,January,6,0,1,1,Clear/Partly Cloudy,0.14,0.1061,0.5,0.3881,0,30,30,Morning,Cold,Clear/Partly Cloudy
53,2011-01-03,Spring,2011,January,7,0,1,1,Clear/Partly Cloudy,0.14,0.1364,0.5,0.194,1,63,64,Morning,Cold,Clear/Partly Cloudy
54,2011-01-03,Spring,2011,January,8,0,1,1,Clear/Partly Cloudy,0.14,0.1212,0.5,0.2836,1,153,154,Morning,Cold,Clear/Partly Cloudy
55,2011-01-03,Spring,2011,January,9,0,1,1,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3881,7,81,88,Morning,Cold,Clear/Partly Cloudy
56,2011-01-03,Spring,2011,January,10,0,1,1,Clear/Partly Cloudy,0.18,0.1667,0.43,0.2537,11,33,44,Morning,Cold,Clear/Partly Cloudy
57,2011-01-03,Spring,2011,January,11,0,1,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.3284,10,41,51,Morning,Cold,Clear/Partly Cloudy
58,2011-01-03,Spring,2011,January,12,0,1,1,Clear/Partly Cloudy,0.22,0.2121,0.35,0.2985,13,48,61,Afternoon,Cold,Clear/Partly Cloudy
59,2011-01-03,Spring,2011,January,13,0,1,1,Clear/Partly Cloudy,0.24,0.2121,0.35,0.2836,8,53,61,Afternoon,Cold,Clear/Partly Cloudy
60,2011-01-03,Spring,2011,January,14,0,1,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2836,11,66,77,Afternoon,Cold,Clear/Partly Cloudy
61,2011-01-03,Spring,2011,January,15,0,1,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,14,58,72,Afternoon,Cold,Clear/Partly Cloudy
62,2011-01-03,Spring,2011,January,16,0,1,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,9,67,76,Afternoon,Cold,Clear/Partly Cloudy
63,2011-01-03,Spring,2011,January,17,0,1,1,Clear/Partly Cloudy,0.24,0.2273,0.3,0.2239,11,146,157,Evening,Cold,Clear/Partly Cloudy
64,2011-01-03,Spring,2011,January,18,0,1,1,Clear/Partly Cloudy,0.24,0.2576,0.32,0.1045,9,148,157,Evening,Cold,Clear/Partly Cloudy
